Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
1,2,4094.8150024414062,1503.1203489141003,4.0,2734.3760498046877,5530.83388671875,2
1,3,4158.453369140625,1247.3361853201457,6.0,2841.3699951171875,5369.51513671875,3
1,4,3913.556005859375,912.8324057041655,5.0,2999.42392578125,4751.59609375,4
1,5,4233.195129394531,538.7848953094168,4.0,3751.2321044921873,4699.578125,5
1,6,4312.1859375,1065.5803831850976,5.0,3447.023974609375,5463.6478515625,6
1,7,4035.343896484375,1305.7861776560173,5.0,2824.6859375,5416.22978515625,7
1,8,4066.785986328125,1309.7092299934043,5.0,2845.865966796875,5456.366015625,8
1,9,3627.0625,923.0395001454949,4.0,2791.8819580078125,4497.177026367188,9
1,10,4177.0033772786455,1160.0713519906992,6.0,2930.9949951171875,5305.2451171875,10
1,11,3971.758056640625,883.8581582367909,5.0,3077.600048828125,4753.3720703125,11
1,12,4323.635009765625,504.2566372005584,4.0,3855.783935546875,4766.586083984375,12
1,13,4318.46201171875,980.0325701784343,5.0,3496.81396484375,5365.34404296875,13
1,14,4033.412060546875,1264.3949454918475,5.0,2862.826025390625,5370.8861328125,14
1,15,3904.4375610351562,1444.0341136143743,4.0,2813.9970458984376,5295.412109375,15
1,16,4159.0574951171875,1485.5684982966488,4.0,2826.3130859375,5585.931884765625,16
1,17,4138.484033203125,1298.7773063076388,5.0,2913.4240234375,5493.680078125,17
1,18,3989.4049682617188,951.2354878186525,4.0,3048.1550048828126,4719.79091796875,18
1,19,4267.582458496094,501.12571283620946,4.0,3828.8919677734375,4747.694970703125,19
1,20,4102.396728515625,334.8668121740014,3.0,3876.002099609375,4380.706005859375,20
1,21,4405.260070800781,1180.9196149688507,4.0,3480.4740478515623,5553.850146484376,21
1,22,4146.584033203125,1353.038697296056,5.0,2908.43994140625,5591.994140625,22
1,23,4193.472021484375,1356.2572223056993,5.0,2913.435986328125,5617.066015625,23
1,24,4222.444986979167,1214.9751152144374,6.0,2968.9000244140625,5484.89501953125,24
1,25,3957.390087890625,824.8561573403596,5.0,3141.000048828125,4679.076171875,25
1,26,4287.737609863281,451.43224258444775,4.0,3912.8630615234374,4728.658203125,26
1,27,4280.74990234375,1048.9239821925,5.0,3446.4859375,5337.971777343751,27
1,28,4041.404052734375,1309.7218741227691,5.0,2896.8060546875,5413.36015625,28
1,29,4118.976025390625,1360.9068610869035,5.0,2893.3599609375,5594.75810546875,29
1,30,4195.7240234375,1342.28007003797,5.0,2922.093994140625,5612.6900390625,30
1,31,4234.658284505208,1191.581593650886,6.0,2964.81005859375,5443.08984375,31
2,1,4010.466015625,845.2445456348265,5.0,3133.462060546875,4762.32998046875,32
2,2,4388.514892578125,491.59875179780056,4.0,3932.344970703125,4847.840869140625,33
2,3,4337.51591796875,1030.5657464693275,5.0,3481.419921875,5387.71787109375,34
2,4,4086.52197265625,1274.9353666573459,5.0,2953.95810546875,5422.93984375,35
2,5,4192.702001953125,1323.04256613591,5.0,2976.495947265625,5614.01201171875,36
2,6,4245.25400390625,1322.8970017803267,5.0,2977.278076171875,5631.83388671875,37
2,7,4283.7800699869795,1183.1230573636858,6.0,3016.8800048828125,5510.525146484375,38
2,8,4052.156005859375,858.0235756422757,5.0,3190.96396484375,4807.362109375,39
2,9,4401.6300048828125,505.96577397282283,4.0,3962.310986328125,4894.78095703125,40
2,10,4384.589990234375,1027.231150706046,5.0,3575.206005859375,5441.49599609375,41
2,11,4094.214013671875,1274.1334028186993,5.0,2968.980029296875,5408.5560546875,42
2,12,4226.564013671875,1319.3856971311639,5.0,2998.61796875,5639.91806640625,43
2,13,4266.499951171875,1322.1834215647252,5.0,3001.393994140625,5650.30986328125,44
2,14,4296.4899495442705,1190.1871707176265,6.0,3062.9449462890625,5557.625,45
2,15,4106.0,958.8617421458937,4.0,3187.20009765625,4862.13193359375,46
2,16,4375.8948974609375,477.61040661749576,4.0,3979.93603515625,4846.401806640625,47
2,17,4130.226643880208,228.79177563577053,3.0,3960.882080078125,4320.025830078125,48
2,18,4440.677551269531,1194.985446478518,4.0,3533.3940185546876,5595.36708984375,49
2,19,4054.1924438476562,1467.4390535201164,4.0,2961.6769775390626,5472.917919921875,50
2,20,4312.739929199219,1518.1216627517138,4.0,2961.2589599609373,5774.916943359375,51
2,21,4220.979931640625,1295.372877764116,5.0,3000.0279296875,5600.5978515625,52
2,22,4010.401904296875,828.6961957899497,5.0,3226.201953125,4774.12177734375,53
2,23,4301.997497558594,543.3691635654388,4.0,3920.6551025390627,4829.80986328125,54
2,24,4278.66201171875,1028.8428614425259,5.0,3505.705908203125,5305.430078125,55
2,25,4018.71201171875,1245.7629152673662,5.0,2928.950048828125,5327.0099609375,56
2,26,4149.405908203125,1335.062069158345,5.0,2922.8958984375,5601.44794921875,57
2,27,4138.6259765625,1326.0299561130505,5.0,2866.93193359375,5548.21396484375,58
2,28,4184.509928385417,1222.4594296530993,6.0,2869.35498046875,5512.1298828125,59
2,29,5096.27001953125,0.0,1.0,5096.27001953125,5096.27001953125,60
3,1,4020.04794921875,840.8175403414159,5.0,3242.9419921875,4804.751953125,61
3,2,3832.1025390625,542.066709764008,4.0,3324.247998046875,4264.983056640625,62
3,3,4216.3880859375,1042.5121122895657,5.0,3329.91005859375,5255.22822265625,63
3,4,4154.8950602213545,1155.2203958549255,6.0,2961.465087890625,5454.550048828125,64
3,5,4115.3619140625,1316.70537894589,5.0,2883.36591796875,5537.037890625,65
3,6,4127.103955078125,1297.0998234938816,5.0,2851.818017578125,5485.01591796875,66
3,7,4372.789990234375,1160.17540865958,5.0,3243.906005859375,5525.0640625,67
3,8,3970.1640625,851.3546860548591,5.0,3174.382080078125,4742.49404296875,68
3,9,3704.5499877929688,663.6647990669055,4.0,3085.2240234375,4170.011938476562,69
3,10,4103.342041015625,987.3656187948052,5.0,3273.9740234375,5072.54404296875,70
3,11,4059.7233072916665,1167.0216450227365,6.0,2762.3399658203125,5345.0048828125,71
3,12,3998.01396484375,1388.4423923288334,5.0,2604.991943359375,5429.687890625,72
3,13,4012.906005859375,1300.8001263245367,5.0,2750.97998046875,5379.03603515625,73
3,14,4338.0599609375,1106.1766032775138,5.0,3252.80400390625,5443.55595703125,74
3,15,4012.577978515625,823.8895647511251,5.0,3250.2599609375,4775.233984375,75
3,16,3666.7449340820312,873.9513533647913,4.0,2858.3749267578123,4239.314892578125,76
3,17,4101.347998046875,1128.6101355590658,5.0,3084.169921875,5169.7400390625,77
3,18,4062.2833658854165,1269.2326823424082,6.0,2615.52001953125,5382.0400390625,78
3,19,4001.77197265625,1422.6692373291191,5.0,2578.661962890625,5476.5779296875,79
3,20,3993.646044921875,1459.6894569440656,5.0,2512.6439453125,5487.58212890625,80
3,21,4445.60400390625,1101.5141385673082,5.0,3314.0759765625,5497.14794921875,81
3,22,4084.81201171875,893.6972210826957,5.0,3255.21396484375,4945.15205078125,82
3,23,3638.2200317382812,966.4387516871676,4.0,2739.3359375,4303.984155273438,83
3,24,4119.03798828125,1198.7425587618889,5.0,3024.05400390625,5268.60595703125,84
3,25,4120.2233479817705,1313.3701769826414,6.0,2636.9600830078125,5497.419921875,85
3,26,4067.770068359375,1381.1827986895883,5.0,2705.426025390625,5508.7521484375,86
3,27,4053.23408203125,1411.277150781227,5.0,2647.030029296875,5515.38212890625,87
3,28,4439.50400390625,1100.2474330406694,5.0,3277.77197265625,5450.30400390625,88
3,29,3866.2250366210938,750.015219864391,4.0,3175.4069580078126,4450.4630859375,89
3,30,3809.6200561523438,838.3238101078243,4.0,3026.2199462890626,4436.96416015625,90
3,31,4161.81005859375,1091.3926953655032,5.0,3139.910009765625,5179.27412109375,91
4,1,4130.043294270833,1267.5488197856055,6.0,2668.844970703125,5438.419921875,92
4,2,4067.7300415039062,1600.0978157237157,4.0,2629.0019287109376,5531.42216796875,93
4,3,4018.91396484375,1321.4667648173772,5.0,2642.54990234375,5322.50810546875,94
4,4,4356.784033203125,927.1760078830692,5.0,3367.873974609375,5117.9580078125,95
4,5,4158.09794921875,842.8336128547526,5.0,3366.807958984375,4932.651953125,96
4,6,3830.9474487304688,799.8828690710407,4.0,3086.7579345703125,4368.3109375,97
4,7,4075.4549560546875,1026.220418882028,4.0,3085.571923828125,4893.63798828125,98
4,8,4069.393310546875,1040.4248559295772,6.0,2822.875,5092.580078125,99
4,9,4092.7259765625,1253.2966113596985,5.0,2825.172021484375,5358.10400390625,100
4,10,4356.50244140625,1109.751011779956,4.0,3254.479931640625,5235.826904296875,101
4,11,4394.441943359375,992.0249382453394,5.0,3376.568017578125,5297.63994140625,102
4,12,4129.64208984375,799.1512800147792,5.0,3381.225927734375,4833.026171875,103
4,13,3874.0074462890625,755.1897281264976,4.0,3175.61787109375,4356.478955078125,104
4,14,4181.38408203125,912.7486585222576,5.0,3357.50009765625,5000.61806640625,105
4,15,4063.561962890625,1200.504716402389,5.0,2832.248095703125,5262.705859375,106
4,16,4043.838134765625,1161.169926848693,5.0,2842.554052734375,5185.9841796875,107
4,17,4046.247998046875,1137.7677343673752,5.0,2884.916015625,5178.5041015625,108
4,18,4115.677551269531,884.1575478100623,4.0,3279.9820556640625,4825.291064453125,109
4,19,4436.804931640625,381.44806435171364,4.0,4157.141943359375,4815.723974609375,110
4,20,3886.8350219726562,725.6895726268359,4.0,3215.1489501953124,4362.097119140625,111
4,21,4119.0720703125,876.0262227607042,5.0,3295.34404296875,4852.3841796875,112
4,22,4068.7332763671875,1037.0691354670205,6.0,2853.6400146484375,5149.179931640625,113
4,23,4071.6119140625,1186.192472583846,5.0,2852.152001953125,5253.73583984375,114
4,24,4091.485986328125,1207.6661969776235,5.0,2872.943994140625,5319.51396484375,115
4,25,4373.5099609375,996.7234199529104,5.0,3384.35390625,5334.4939453125,116
4,26,4091.730029296875,768.2326930973896,5.0,3386.32392578125,4735.0240234375,117
4,27,3846.1275634765625,645.5296538806247,4.0,3255.541015625,4185.892138671875,118
4,28,4206.460009765625,943.4994847919094,5.0,3385.825927734375,5032.25,119
4,29,4150.490071614583,1081.6738897425569,6.0,2941.27001953125,5338.5,120
4,30,4128.835986328125,1201.9270967604434,5.0,2925.789990234375,5355.71201171875,121
5,1,4108.96806640625,1235.3937204342615,5.0,2867.91796875,5369.84013671875,122
5,2,4388.67001953125,1052.646756019286,5.0,3398.34404296875,5437.68203125,123
5,3,4106.464013671875,775.0902204174726,5.0,3403.683935546875,4753.7380859375,124
5,4,3842.197509765625,673.4505822933271,4.0,3208.283984375,4259.5169921875,125
5,5,4193.90595703125,985.4447691888529,5.0,3375.56396484375,5057.2638671875,126
5,6,4148.9167073567705,1128.2615889453457,6.0,2890.4449462890625,5393.8251953125,127
5,7,4163.364013671875,1273.7198998161455,5.0,2882.333984375,5453.84794921875,128
5,8,4159.789990234375,1271.9764719511224,5.0,2899.57197265625,5473.43193359375,129
5,9,4371.0240234375,1098.9255691017809,5.0,3318.927978515625,5481.578125,130
5,10,4086.240087890625,831.1856092220885,5.0,3329.2599609375,4808.98017578125,131
5,11,3787.0225219726562,579.4979530777894,4.0,3231.6869384765623,4145.656103515625,132
5,12,4166.30205078125,1068.1341134059014,5.0,3294.1041015625,5156.14599609375,133
5,13,4146.0382893880205,1244.2068392927872,6.0,2815.93505859375,5553.98486328125,134
5,14,4200.004052734375,1382.1760982862033,5.0,2841.645947265625,5634.2201171875,135
5,15,4215.203955078125,1395.0230057775161,5.0,2856.05595703125,5673.41806640625,136
5,16,4449.9419921875,1202.1106630256388,5.0,3328.996044921875,5693.86796875,137
5,17,4114.742041015625,865.0320389752807,5.0,3351.258056640625,4847.27802734375,138
5,18,3800.867431640625,576.5062473503623,4.0,3244.84091796875,4176.98388671875,139
5,19,4218.998046875,1099.5526161781738,5.0,3314.07998046875,5254.95205078125,140
